MP_Ratlam,,Ratlam
MP_Rewa,,Rewa
MP_Sagar,,Sagar
MP_Satna,,Satna
MP_Sehore,,Sehore
MP_Seoni,,Seoni
MP_Shahdol,,Shahdol
MP_Shajapur,,Shajapur
MP_Sheopur,,Sheopur
MP_Shivpuri,,Shivpuri
MP_Sidhi,,Sidhi
MP_Singrauli,,Singrauli
MP_Tikamgarh,,Tikamgarh
MP_Ujjain,,Ujjain
MP_Umaria,,Umaria
MP_Vidisha,,Vidisha
MH_Ahmednagar,,Ahmednagar
MH_Akola,,Akola
MH_Amravati,,Amravati
MH_Aurangabad,,Aurangabad
MH_Beed,,Beed
MH_Bhandara,,Bhandara
MH_Buldhana,,Buldhana
MH_Chandrapur,,Chandrapur
MH_Dhule,,Dhule
MH_Gadchiroli,,Gadchiroli
MH_Gondia,,Gondia
MH_Hingoli,,Hingoli
MH_Jalgaon,,Jalgaon
MH_Jalna,,Jalna
MH_Kolhapur,,Kolhapur
MH_Latur,,Latur
MH_Mumbai,,Mumbai
MH_Nagpur,,Nagpur
MH_Nanded,,Nanded
MH_Nandurbar,,Nandurbar
MH_Nashik,,Nashik
MH_Osmanabad,,Osmanabad
MH_Palghar,,Palghar
MH_Parbhani,,Parbhani
MH_Pune,,Pune
MH_Raigad,,Raigad
MH_Ratnagiri,,Ratnagiri
MH_Sangli,,Sangli
MH_Satara,,Satara
MH_Sindhudurg,,Sindhudurg
MH_Solapur,,Solapur
MH_Thane,,Thane
MH_Wardha,,Wardha
MH_Washim,,Washim
MH_Yavatmal,,Yavatmal
MN_Bishnupur,,Bishnupur
MN_Chandel,,Chandel
MN_Churachandpur,,Churachandpur
MN_Imphal East,,Imphal East
MN_Imphal West,,Imphal West
MN_Jiribam,,Jiribam
MN_Kakching,,Kakching
MN_Kamjong,,Kamjong
MN_Kangpokpi,,Kangpokpi
MN_Noney,,Noney
MN_Pherzawl,,Pherzawl
MN_Senapati,,Senapati
MN_Tamenglong,,Tamenglong
MN_Tengnoupal,,Tengnoupal
MN_Thoubal,,Thoubal
MN_Ukhrul,,Ukhrul
ML_East Garo Hills,,East Garo Hills
ML_East Jaintia Hills,,East Jaintia Hills
ML_East Khasi Hills,,East Khasi Hills
ML_North Garo Hills,,North Garo Hills
ML_Ribhoi,,Ribhoi
ML_South Garo Hills,,South Garo Hills
ML_South West Garo Hills,,South West Garo Hills
ML_South West Khasi Hills,,South West Khasi Hills
ML_West Garo Hills,,West Garo Hills
ML_West Jaintia Hills,,West Jaintia Hills
ML_West Khasi Hills,,West Khasi Hills
MZ_Aizawl,,Aizawl
MZ_Aizawl,,Aizawl
MZ_Champhai,,Champhai
MZ_Kolasib,,Kolasib
MZ_Lawngtlai,,Lawngtlai
MZ_Lunglei,,Lunglei
MZ_Mamit,,Mamit
MZ_Serchhip,,Serchhip
MZ_Saiha,,Saiha
NL_Dimapur,,Dimapur
NL_Kiphire,,Kiphire
NL_Kohima,,Kohima
NL_Longleng,,Longleng
NL_Mokokchung,,Mokokchung
NL_Mon,,Mon
NL_Peren,,Peren
NL_Phek,,Phek
NL_Tuensang,,Tuensang
NL_Wokha,,Wokha
NL_Zunheboto,,Zunheboto
OR_Angul,,Angul
OR_Balangir,,Balangir
OR_Balasore,,Balasore
OR_Bargarh,,Bargarh
OR_Bhadrak,,Bhadrak
OR_Boudh,,Boudh
OR_Cuttack,,Cuttack
OR_Deogarh,,Deogarh
OR_Dhenkanal,,Dhenkanal
OR_Gajapati,,Gajapati
OR_Ganjam,,Ganjam
OR_Jagatsinghpur,,Jagatsinghpur
OR_Jajpur,,Jajpur
OR_Jharsuguda,,Jharsuguda
OR_Kalahandi,,Kalahandi
OR_Kandhamal,,Kandhamal
OR_Kendrapara,,Kendrapara
OR_Kendujhar,,Kendujhar
OR_Khordha,,Khordha
OR_Koraput,,Koraput
OR_Malkangiri,,Malkangiri
OR_Mayurbhanj,,Mayurbhanj
OR_Nabarangapur,,Nabarangapur
OR_Nayagarh,,Nayagarh
OR_Nuapada,,Nuapada
OR_Puri,,Puri
OR_Rayagada,,Rayagada
OR_Sambalpur,,Sambalpur
OR_Subarnapur,,Subarnapur
OR_Sundargarh,,Sundargarh
PY_Karaikal,,Karaikal
PY_Mahe,,Mahe
PY_Puducherry,,Puducherry
PY_Yanam,,Yanam
PB_Amritsar,,Amritsar
PB_Barnala,,Barnala
PB_Bathinda,,Bathinda
PB_Faridkot,,Faridkot
PB_Fatehgarh Sahib,,Fatehgarh Sahib
PB_Fazilka,,Fazilka
PB_Ferozepur,,Ferozepur
PB_Gurdaspur,,Gurdaspur
PB_Hoshiarpur,,Hoshiarpur
PB_Jalandhar,,Jalandhar
PB_Kapurthala,,Kapurthala
PB_Ludhiana,,Ludhiana
PB_Mansa,,Mansa
PB_Moga,,Moga
PB_Pathankot,,Pathankot
PB_Patiala,,Patiala
PB_Rupnagar,,Rupnagar
PB_Sangrur,,Sangrur
PB_S.A.S. Nagar,,S.A.S. Nagar
PB_Shahid Bhagat Singh Nagar,,Shahid Bhagat Singh Nagar
PB_Sri Muktsar Sahib,,Sri Muktsar Sahib
PB_Tarn Taran,,Tarn Taran
RJ_Ajmer,,Ajmer
RJ_Alwar,,Alwar
RJ_Banswara,,Banswara
RJ_Baran,,Baran
RJ_Barmer,,Barmer
RJ_Bharatpur,,Bharatpur
RJ_Bhilwara,,Bhilwara
RJ_Bikaner,,Bikaner
RJ_Bundi,,Bundi
RJ_Chittorgarh,,Chittorgarh
RJ_Churu,,Churu
RJ_Dausa,,Dausa
RJ_Dholpur,,Dholpur
RJ_Dungarpur,,Dungarpur
RJ_Hanumangarh,,Hanumangarh
RJ_Jaipur,,Jaipur
RJ_Jaipur,,Jaipur
RJ_Jaisalmer,,Jaisalmer
RJ_Jalore,,Jalore
RJ_Jhalawar,,Jhalawar
RJ_Jhunjhunu,,Jhunjhunu
RJ_Jodhpur,,Jodhpur
RJ_Karauli,,Karauli
RJ_Kota,,Kota
RJ_Nagaur,,Nagaur
RJ_Pali,,Pali
RJ_Pratapgarh,,Pratapgarh
RJ_Rajsamand,,Rajsamand
RJ_Sawai Madhopur,,Sawai Madhopur
RJ_Sikar,,Sikar
RJ_Sirohi,,Sirohi
RJ_Ganganagar,,Ganganagar
RJ_Tonk,,Tonk
RJ_Udaipur,,Udaipur
SK_East Sikkim,,East Sikkim
SK_North Sikkim,,North Sikkim
SK_South Sikkim,,South Sikkim
SK_West Sikkim,,West Sikkim
TN_Pudukkottai,,Pudukkottai
TN_Ariyalur,,Ariyalur
TN_Salem,,Salem
TN_Chengalpattu,,Chengalpattu
TN_Chennai,,Chennai
TN_Tiruvannamalai,,Tiruvannamalai
TN_Coimbatore,,Coimbatore
TN_Cuddalore,,Cuddalore
TN_Dharmapuri,,Dharmapuri
TN_Dindigul,,Dindigul
TN_Erode,,Erode
TN_Kallakurichi,,Kallakurichi
TN_Kancheepuram,,Kancheepuram
TN_Kanyakumari,,Kanyakumari
TN_Karur,,Karur
TN_Thoothukkudi,,Thoothukkudi
TN_Krishnagiri,,Krishnagiri
TN_Madurai,,Madurai
TN_Nagapattinam,,Nagapattinam
TN_Namakkal,,Namakkal
TN_Nilgiris,,Nilgiris
TN_Dindigul,,Dindigul
TN_Ramanathapuram,,Ramanathapuram
TN_Perambalur,,Perambalur
TN_Thiruvallur,,Thiruvallur
TN_Pudukkottai,,Pudukkottai
TN_Ramanathapuram,,Ramanathapuram
TN_Ranipet,,Ranipet
TN_Salem,,Salem
TN_Sivaganga,,Sivaganga
TN_Virudhunagar,,Virudhunagar
TN_Tenkasi,,Tenkasi
TN_Thanjavur,,Thanjavur
TN_Theni,,Theni
TN_Thoothukkudi,,Thoothukkudi
TN_Tiruchirappalli,,Tiruchirappalli
TN_Tirunelveli,,Tirunelveli
TN_Tirupathur,,Tirupathur
TN_Tiruppur,,Tiruppur
TN_Thiruvallur,,Thiruvallur
TN_Tiruvannamalai,,Tiruvannamalai
TN_Thiruvarur,,Thiruvarur
TN_Vellore,,Vellore
TN_Viluppuram,,Viluppuram
TN_Virudhunagar,,Virudhunagar
TG_Adilabad,,Adilabad
TG_Bhadradri Kothagudem,,Bhadradri Kothagudem
TG_Hyderabad,,Hyderabad
TG_Jagtial,,Jagtial
TG_Jangaon,,Jangaon
TG_Jayashankar Bhupalapally,,Jayashankar Bhupalapally
TG_Jogulamba Gadwal,,Jogulamba Gadwal
TG_Kamareddy,,Kamareddy
TG_Karimnagar,,Karimnagar
TG_Khammam,,Khammam
TG_Komaram Bheem,,Komaram Bheem
TG_Mahabubabad,,Mahabubabad
TG_Mahabubnagar,,Mahabubnagar
TG_Mancherial,,Mancherial
TG_Medak,,Medak
TG_Medchal Malkajgiri,,Medchal Malkajgiri
TG_Mulugu,,Mulugu
TG_Nagarkurnool,,Nagarkurnool
TG_Nalgonda,,Nalgonda
TG_Narayanpet,,Narayanpet
TG_Nirmal,,Nirmal
TG_Nizamabad,,Nizamabad
TG_Peddapalli,,Peddapalli
TG_Rajanna Sircilla,,Rajanna Sircilla
TG_Ranga Reddy,,Ranga Reddy
TG_Sangareddy,,Sangareddy
TG_Siddipet,,Siddipet
TG_Suryapet,,Suryapet
TG_Vikarabad,,Vikarabad
TG_Wanaparthy,,Wanaparthy
TG_Warangal Rural,,Warangal Rural
TG_Warangal Urban,,Warangal Urban
TG_Yadadri Bhuvanagiri,,Yadadri Bhuvanagiri
TR_Dhalai,,Dhalai
TR_Gomati,,Gomati
TR_Khowai,,Khowai
TR_North Tripura,,North Tripura
TR_Sipahijala,,Sipahijala
TR_South Tripura,,South Tripura
TR_Unokoti,,Unokoti
TR_West Tripura,,West Tripura
UP_Agra,,Agra
UP_Aligarh,,Aligarh
UP_Ambedkar Nagar,,Ambedkar Nagar
UP_Amethi,,Amethi
UP_Amroha,,Amroha
UP_Auraiya,,Auraiya
UP_Ayodhya,,Ayodhya
UP_Azamgarh,,Azamgarh
UP_Budaun,,Budaun
UP_Baghpat,,Baghpat
UP_Bahraich,,Bahraich
UP_Balrampur,,Balrampur
UP_Ballia,,Ballia
UP_Banda,,Banda
UP_Barabanki,,Barabanki
UP_Bareilly,,Bareilly
UP_Basti,,Basti
UP_Bhadohi,,Bhadohi
UP_Bijnor,,Bijnor
UP_Bulandshahr,,Bulandshahr
UP_Chandauli,,Chandauli
